title,description,category
The Disappearance of Stephanie Mailer,"A twisting new thriller from the author of The Truth about the Harry Quebert Affair In the summer of 1994, the quiet seaside town of Orphea reels from the discovery of four murders. Two young police officers, Jesse Rosenberg and Derek Scott crack the case and identify the killer. Then, twenty years later and just as he is on the point of taking early retirement, Rosenberg is approached by Stephanie Mailer, a journalist who believes he made a mistake back in 1994 and that the real murderer is still out there, perhaps ready to strike again. But before she can give any more details, Stephanie Mailer mysteriously disappears, and Rosenberg and Scott are forced to confront the possibility that her suspicions might have been proved true. What happened to Stephanie Mailer? What did she know? And what really happened in Orphea all those years ago? Translated from the French by Howard Curtis",Horror
Dracula,"Dracula is an 1897 Gothic horror novel by Irish author Bram Stoker. It introduced the character of Count Dracula and established many conventions of subsequent vampire fantasy. The novel tells the story of Dracula's attempt to move from Transylvania to England so that he may find new blood and spread the undead curse, and of the battle between Dracula and a small group of people led by Professor Abraham Van Helsing.Dracula has been assigned to many literary genres including vampire literature, horror fiction, gothic fiction, and invasion literature. The novel has spawned numerous theatrical, film, and television interpretations.",Horror
"Dracula by Bram Stoker (Annotated) Classic Unabridged (Horror, Gothic, Fiction Novel) a Tale of a Vampire","Dracula is an 1897 Gothic horror novel by Irish author Bram Stoker. It introduced Count Dracula, and established many conventions of subsequent vampire fantasy.[1] The novel tells the story of Dracula's attempt to move from Transylvania to England so that he may find new blood and spread the undead curse, and of the battle between Dracula and a small group of men and a woman led by Professor Abraham Van Helsing.",Horror
"Dracula by Bram Stoker (Annotated) Classic Unabridged (Horror, Gothic, Fiction Novel) Vampire Story","Dracula is an 1897 Gothic horror novel by Irish author Bram Stoker. It introduced Count Dracula, and established many conventions of subsequent vampire fantasy.[1] The novel tells the story of Dracula's attempt to move from Transylvania to England so that he may find new blood and spread the undead curse, and of the battle between Dracula and a small group of men and a woman led by Professor Abraham Van Helsing.",Horror
"Maria; or, The Wrongs of Woman",A Posthumous Fragment (Collected Works of Mary Wollstonecraft),Horror
World War Z,An Oral History of the Zombie War,Horror
The odd number,thirteen tales,Horror
99 Fear Street,The House of Evil - The Third Horror,Horror
Dean Koontz's Frankenstein,Prodigal Son,Horror
An Encyclopedia of Fairies,"Hobgoblins, Brownies, Bogies, and Other Supernatural Creatures",Horror
Coraline,The Graphic Novel,Horror
The Mortal Immortal,The Complete Supernatural Short Fiction of Mary Shelley,Horror
Dracula,"An Authoritative Text, Contexts, Reviews and Reactions, Dramatic and Film Variations, Criticism",Horror
City of Glass,The Mortal Instruments Book Three,Horror
City of Fallen Angels,The Mortal Instruments Book 4,Horror
Tales for the midnight hour,Stories of Horror,Horror
Gravity Falls,Journal 3,Horror
The Vampire Diaries,The Awakening & The Struggle,Horror
"The Walking Dead, Vol. 1",Days Gone Bye,Horror
Remember Me 2,the return,Horror
Crow's Cottage,A Supernatural Thriller,Horror
Lolly Willowes,or The Loving Huntsman.,Horror
Vendetta,"or, The story of one forgotten",Horror
Meg,A Novel of Deep Terror,Horror
A face in the dark and other hauntings,collected stories of the supernatural,Horror
The Dunwich horror,and others; the best supernatural stories of H. P. Lovecraft.,Horror
Supernatural,The Unholy Cause,Horror
The killer and the slain,a strange story,Horror
"Humor, Horror, and the Supernatural",22 Stories By Saki,Horror
Classic Horror Stories,Sixteen Legendary Stories of the Supernatural,Horror
The wind in the rose-bush,and other stories of the supernatural,Horror
Lullaby,a novel,Horror
Ghost Story,A Novel of the Dresden Files,Horror
The insistence of horror,aspects of the supernatural in eighteenth-century poetry.,Horror
Fear Street Super Chiller - Cheerleaders,The Evil Lives!,Horror
Dean Koontz's Frankenstein,Book Two: City of Night,Horror
Ladies of horror,two centuries of supernatural stories by the gentle sex.,Horror
Lord of Shadows,The Dark Artifices Book 2,Horror
Confessor,"Chainfire Trilogy, Part 3 (Sword Of Truth, Book 11)",Horror
Salem possessed,the social origins of witchcraft,Horror
Witches' Brew,Horror and Supernatural Stories by Women (Macmillan midnight library),Horror
Horrors!,365 Scary Stories,Horror
Dark of the Night,New Tales of Horror and the Supernatural,Horror
Supernatural,Witch's Canyon (Supernatural),Horror
City of Heavenly Fire,The Mortal Instruments Book 6,Horror
Novels,bloodcurdling tales of horror and the macabre,Horror
"Demonata #1, The: Lord Loss",Book 1 in the Demonata series (The Demonata),Horror
Learn English Through Classic Literature,American Tales of Horror and the Supernatural,Horror
Practical Demonkeeping,A Comedy of Horrors,Horror
Supernatural,Meetings With the Ancient Teachers of Mankind,Horror
The Vampire Diaries,The Awakening,Horror
The Last Child part 1,A dark and disturbing Supernatural Suspense Thriller Kindle Edition,Horror
All souls' night,a book of stories,Horror
The Alchemyst,The Secrets of the Immortal Nicholas Flamel #1,Horror
Silber,Das erste Buch der Träume,Horror
The cone,another collection of horror stories.,Horror
Amulet,Firelight (book 7),Horror
Suddenly Supernatural,School Spirit (Suddenly Supernatural),Horror
The colour out of space,and others,Horror
What dreams may come,a novel,Horror
Hauntings,Fantastic Stories,Horror
Horror at the haunted house,HORROR AT THE HAUNTED HOUSE (Frightmares),Horror
Cirque Du Freak #7,Hunters of the Dusk: Book 7 in the Saga of Darren Shan,Horror
Supernatural religion,an inquiry into the reality of divine revelation.,Horror
The Vampire Diaries,Stefan's Diaries Vol. 6 The Compelled,Horror
More Horowitz Horror,stories you'll wish you'd never read,Horror
Jade Green,a ghost story,Horror
The great and secret show,the first book of the art,Horror
Horror Stories,Twenty-Six Scary Tales,Horror
The supernatural,From Esp to Ufo's,Horror
Dean Koontz's Frankenstein,Book Three: Dead and Alive,Horror
Devolution,A Firsthand Account of the Rainier Sasquatch Massacre,Horror
A Lush and Seething Hell,Two Tales of Cosmic Horror,Horror
Supernatural,Beginning's End,Horror
Horrors,A History of Horror Movies,Horror
Vampires,stories of the supernatural,Horror
Give yourself a fright,thirteen tales of the supernatural,Horror
The apostle,a thriller,Horror
Beware!,R.L. Stine Picks His Favorite Scary Stories,Horror
Inferno,New Tales of Terror and the Supernatural,Horror
Supernatural Texas,a field guide,Horror
Itou Junji Kyoufu Manga Collection 16,Frankenstein,Horror
Avatar,"the Last Avatar: North and South, Part Three",Horror
Der Gottesspion,Thriller,Horror
The Whitechapel Horrors,A Sherlock Holmes Novel,Horror
The Horror Collection,Pink Edition,Horror
The Mammoth Book of Best New Horror,The Year's Best Terror Tales (Mammoth Book  of Best New Horror),Horror
Legal Briefs,Short Stories by Today's Best Thriller Writers,Horror
Horrors Beyond,Tales of Terrifying Realities,Horror
Supernatural,The Official Companion Season 3,Horror
Whodunnit,a comedy thriller,Horror
Shadow of Doubt,a Thriller,Horror
Caricias de horror,22 historias de sexo y horror,Horror
Point Horror,Blood Sinister,Horror
Los templarios,Monjes y guerreros,Horror
Assassin's Creed,Renaissance (Assassin's Creed (Unnumbered)),Horror
Last light,A Nick Stone Mission,Horror
Supernatural as natural,a biocultural approach to religion,Horror
The Supernatural Solution,Chilling Stories of Spooks & Sleuths,Horror
The dark side of the supernatural,what is of God and what isn't,Horror
The white road,a thriller,Horror
Slow Burn,A Novel,Horror
Vampire Kisses 2,Kissing Coffins,Horror
Shifting shadows of supernatural experiences,a manual for experiencing God,Horror
Black sun,a thriller,Horror
Black rain,a thriller,Horror
Tyle groźnych miejsc,thriller,Horror
Downforce,a stockcar thriller,Horror
Ghost dancer,a thriller,Horror
The Palace,An Historical Horror Novel,Horror
My Supernatural Life,Comprehending the Incomprehensible,Horror
Beast,hair-raising horror stories,Horror
Dreams from the Witch House,Female Voices of Lovecraftian Horror,Horror
Totzeit,Thriller,Horror
Haunted highways,"spooky stories, strange happenings, and supernatural sightings",Horror
The palace,an historical horror novel,Horror
Wes Craven,the art of horror,Horror
The year's best horror stories,IX,Horror
STARLIGHT & MOONSHINE,Poetry of the Supernatural,Horror
Spooked,Talking About the Supernatural (Talking About series),Horror
Supernatural boys,an unauthorized biography,Horror
Toll the hounds,Book Eight of The Malazan Book of the Fallen,Horror
Wild Talent:,A Novel of the Supernatural,Horror
The lovers,a thriller,Horror
Little Book Of Horror,Frankenstein (Little Book of Horror),Horror
Frights,new stories of suspense and supernatural terror,Horror
The sea lions,"or, The lost sealers.",Horror
Die DDR wird Kaiserreich,Thriller,Horror
Doctor Who,The Crimson Horror,Horror
Sweeney Todd,a musical thriller,Horror
The last ship,a novel,Horror
The Naming,The First Book of Pellinor (Pellinor Series),Horror
Classic Thrillers,Bram Stoker's Dracula/Mary Shelley's Frankenstein,Horror
The Horror on the Asteroid,And Other Tales of Planetary Horror,Horror
Gutted,Beautiful Horror Stories,Horror
Horror fiction,an introduction,Horror
Horrorology,Books of Horror,Horror
Sacred terror,religion and horror on the silver screen,Horror
Little Deaths,24 Tales of Sex and Horror,Horror
Maori myth,The Supernatural World of the Maori.,Horror
Blue Gemini,A Thriller,Horror
Garou,Ein Schaf-Thriller,Horror
Labyrinth,a thriller,Horror
Persevering Prayer,Growing Church Supernaturally,Horror
Supernatural,Feuilles de route mythologiques,Horror
Vampires,Stories of the Supernatural,Horror
Supernatural girls,an unauthorized biography,Horror
The hours after midnight ..,tales of terror and the supernatural,Horror
Crusader's torch,An Historical Horror Novel,Horror
Horror vacui,poems,Horror
Horror Story,Çığlık,Horror
Hunter,A Thriller,Horror
Monopoli,Polit-Thriller,Horror
Eiskalt,Agenten-Thriller.,Horror
Das Biest,Thriller.,Horror
Der Fisch,Thriller,Horror
Hawke,A Novel,Horror
Dead Bait,Horror Anthology,Horror
Marleen,The Horror Queen,Horror
The supernatural in nature,A Verification By Free Use Of Science,Horror
Amulet,Escape from Lucien (book 6),Horror
Clockwork Princess,The Infernal Devices Book 3,Horror
Street Smart,A Thriller,Horror
Abandoned,a thriller,Horror
Assassin,A Novel,Horror
Kismet,A Kayankaya Thriller,Horror
Red Sparrow,A Novel,Horror
Scandinavian ghost stories,and other tales of the supernatural,Horror
Target,Alex Cross,Horror
Shadow Dance,A Novel,Horror
Crackdown,A Novel of Suspense,Horror
Horror 2,"Los Mejores Relatos De ""Twilight Zone""",Horror
The Vampire's Assistant,And Other Tales from the Cirque du Freak,Horror
Urban Horror,Volume One,Horror
Terror Australis,the best of Australian horror.,Horror
Carnival,A Horror Anthology,Horror
Horror,A True Tale,Horror
Prayers for rain,a novel,Horror
Phyl-Undhu,"Abstract Horror, Exterminator",Horror
Das Labyrinth erwacht,Thriller,Horror
The big book of horror,21 famously fearsome tales,Horror
Blind fear,a cold case thriller,Horror
Astrology,the supernatural and the beyond.,Horror
Koontz,"Three Complete Novels, Lightning, The Face Of Fear and The Vision",Horror
The Demanding Dead,more stories of terror and the supernatural,Horror
Blood Communion,A Tale of Prince Lestat (The Vampire Chronicles 13),Horror
The shot,a thriller,Horror
By horror haunted,stories.,Horror
Ratten,18 Horror-Stories,Horror
Phobic,Modern Horror Stories,Horror
A double life,newly discovered thrillers of Louisa May Alcott,Horror
Point Horror Collection,"The Watcher, The Boy Next Door, The Hitchhiker",Horror
Pathfinder Roleplaying Game,Horror Adventures,Horror
Outland rock,cinque thriller,Horror
Reckoning,An FBI Thriller,Horror
Langsamer deutscher Walzer,Thriller,Horror
Red Chrysanthemum,A Thriller (Sano Ichiro Novels),Horror
The Gothic Vision,"Three Centuries of Horror, Terror and Fear",Horror
Remembering Sarah,A Thriller,Horror
Suspense Thriller,"How to Write Chase, Spy, Legal, Medical, Psychological, Political & Techno-Thrillers",Horror
Ghost Movies II,Famous Supernatural Television Programs,Horror
World Without End,a thriller,Horror
A Counter-History of Crime Fiction,"Supernatural, Gothic, Sensational (Crime Files)",Horror
God at work,a study of the supernatural.,Horror
Eight days to live,an Eve Duncan forensics thriller,Horror
"Hush, Hush",Parts I & II,Horror
Blown coverage,a Riley Covington thriller,Horror
How to Survive a Horror Movie,All the Skills to Dodge the Kills,Horror
Horror and the Holy,wisdom-teachings of the monster tale,Horror
"Evening News, The",A Novel,Horror
Twists of the Tale,An Anthology of Cat Horror,Horror
Trailsman 216,High Sierra Horror,Horror
Universal Monsters,Cavalcade of Horror,Horror
The Blackstone chronicles,The Serial Thriller Complete in One Volume (Blackstone Chronicles),Horror
White Zombie,Anatomy of a Horror Film,Horror
Dark Thoughts,Philosophic Reflections on Cinematic Horror,Horror
The Case for Miracles,A Journalist Investigates Evidence for the Supernatural,Horror
Japanese Ghosts and Demons,Art of the Supernatural,Horror
Yuck!,a big book of little horrors,Horror
One Fox,A Counting Book Thriller,Horror
Louisa May Alcott unmasked,collected thrillers,Horror
Patriot Acts,A Thriller,Horror
DRIVEN,A Rita Mars Thriller,Horror
Das Labyrinth vergisst nicht,Thriller,Horror
The Natural and Supernatural,"Or, Man: Physical, Apparitional and Spiritual",Horror
Hans Holzer's the Supernatural,Explaining the Unexplained,Horror
Trouble in Paradise,A Thrilling Supernatural Mystery,Horror
Dark Detectives,Adventures of the Supernatural Sleuths,Horror
Promises,a daily guide to supernatural living,Horror
A rumor of angels,modern society and the rediscovery of the supernatural.,Horror
Everville,The Second Book of the Art,Horror
A darkness more than night,a novel,Horror
Daughters of the Moon,Goddess of the Night,Horror
Nature and the supernatural,as together constituting the one system of God.,Horror
The Mediator,Reunion,Horror
House of Horror,The Complete Hammer Films Story,Horror
Bart Simpson's Treehouse of Horror,Heebie-Jeebie Hullabaloo,Horror
Reckless,Steinernes Fleisch,Horror
Cthulhu,the mythos and kindred horrors,Horror
Clockwork Prince,The Infernal Devices Book 2,Horror
"Gods, Men and Ghosts",The Best Supernatural Fiction of Lord Dunsany,Horror
Kara Kedi,Horror Story 3,Horror
Rat War,A Horror Anthology,Horror
Pathfinder Campaign Setting,Horror Realms,Horror
Horror Fastbacks Skillchecks,12 Novels,Horror
Horrors!,A Prairie Home Companion,Horror
The Aurum Film Encyclopedia,Horror,Horror
"One Piece, Vol. 16 (Adventure on Ghost Island / Cloudy, Partly Bony / Adventures of Oars)",Thriller Bark,Horror
"Somme, The",Heroism and Horror in the First World War,Horror
Scooby-doo Mysteries #31,Hoopster Horror (Scooby-Doo),Horror
The Essential Poe,Tales of Horror and Mystery,Horror
O redemunho do horror,as margens do ocidente,Horror
The dark fountain,a novel of horror,Horror
The horror horn and other stories,the best horror stories of E.F. Benson,Horror
Urban Terrors,New British Horror Cinema,Horror
Michael Jackson,"The Making of ""Thriller""",Horror
Verderben - Kinder des Zorns,Thriller,Horror
Factomule,Grand thriller politique international,Horror
Dirty work,a comedy thriller.,Horror
Flavian's fortune,a psychological thriller,Horror
The Dante Killings,A Thriller,Horror
Blackout,a Riley Covington thriller,Horror
Audience with murder,a thriller,Horror
Prescription for murder,a thriller,Horror
Jar city,a Reykjavik thriller,Horror
Under the rainbow,nature and supernature among the Panare Indians,Horror
Medley Macabre,An Anthology of Stories of the Supernatural,Horror
Tower of Secrets,a Real Life Spy Thriller,Horror
Light on the thriller,the USA & Spain,Horror
Secret Specter,A Heart-Stopping Thriller of Deceit and Espionage - A Rebecca Hawke Thriller,Horror
A Thing of Unspeakable Horror,the history of Hammer films,Horror
Passing strange,True Tales of New England Hauntings and Horrors,Horror
CHEERLEADERS: FEAR STREET COLLECTOR'S EDITION 12,"(THE FIRST EVIL/THE SECOND EVIL/THE THIRD EVIL) (Fear Street , No 12)",Horror
In the Blood,A Thriller,Horror
Benoit,Wrestling with the Horror that Destroyed a Family and Crippled a Sport,Horror
Art of Horror Stories,two hundred years of spine-chilling illustrations,Horror
The Tales of Horror,A Flip-Book,Horror
The EC Archives,Vault Of Horror Volume 1 (The Ec Archives),Horror
Avatar,"the Last Airbender: The Search, Part One",Horror
Sorcery & Cecelia,or The Enchanted Chocolate Pot  (Cecelia and Kate #1),Horror
The Ghost's companion,a haunting anthology,Horror
The second time around,A Novel,Horror
Milat,the full horror of the backpacker murders,Horror
Trophy hunt,a Joe Pickett novel,Horror
Revolution within,A Fresh Look at Supernatural Living,Horror
Queer Fear,Horror Film Queer Spectatohb,Horror
The valour and the horror,the untold story of Canadians in the Second World War,Horror
Die! Mommy! Die!,a comic thriller,Horror
Black Rain,A Thriller,Horror
The zombie,a stage thriller in three acts,Horror
"The Supernatural Omnibus, Volume 2","Diabolism, Witchcraft and Evil Lore",Horror
Raymond Chandler's unknown thriller,the screenplay of Playback.,Horror
The gifts of the spirit,Understanding and Receiving God's Supernatural Power in Your Life,Horror
False witness,a thriller,Horror
The white wife,"with other stories, supernatural, romantic, and legendary",Horror
Gravity Falls,The Convenience Store...of Horrors!,Horror
Supernatural,The Children That Time Forgot & Other Strange True Stories Compendium,Horror
Fear Without Frontiers,Horror Cinema Across the Globe,Horror
The Halloween Horror,And Other Cases,Horror
Summer Chills,Tales of Vacation Horror,Horror
Classic Ghost & Horror Stories,An Anthology,Horror
Movie Monsters,Great Horror Film Stories,Horror
Here be daemons,tales of horror and the uneasy,Horror
The Movie Treasury,Horror Movies,Horror
Horror,lo mejor del terror contemporáneo v. 4,Horror
After Shocks,An Anthology of So-Cal Horror,Horror
Dracula,A Thriller in Two Acts,Horror
Afterlife,a Sophie Ryan psychic thriller,Horror
Breathing Water,A Poke Rafferty Thriller,Horror
Rogues & Patriots,A Nick Crane Thriller,Horror
Sweet waters,a novel,Horror
Bloodsucking Fiends,A Love Story,Horror
Simpsons Treehouse of horror,Heebie-jeebie hullabaloo #1,Horror
Just take my heart,a novel,Horror
Encounters with a supernatural God,angelic visitations in the night,Horror
A Not-So-Distant Horror,Mass Violence In East Timor,Horror
Terror!,A history of horror illustrations from the pulp magazines,Horror
In the Night Room,a novel,Horror
Vodka neat,a Faith Zanetti thriller,Horror
Robert Ludlum's The Bourne sanction,a new Jason Bourne novel,Horror
Plots and counterplots,more unknown thrillers of Louisa May Alcott,Horror
Tales of Mystery and Horror,Vol. III,Horror
Horrors Beyond II,Stories of Strange Creations,Horror
Stories of the supernatural,from The omnibus of crime,Horror
The Shadow-Cage,And Other Tales of the Supernatural,Horror
The Black Pilgrimage & Other Explorations,Essays on Supernatural Fiction,Horror
Soul Taker,Is Your Soul for Sale? (H Supernatural),Horror
Baleful beasts,great supernatural stories of the animal kingdom.,Horror
Flight into Danger,a novel of suspense,Horror
Gothic Tales of Terror,"Classic Horror Stories from Great Britain, Europe, and the United States 1765-1840",Horror
Studies in the Horror Film,Stanley Kubrick's The Shining,Horror
Horror at the Drive-In,Essays in Popular Americana,Horror
Route 666,highway to horror,Horror
Frankenstein,A Gothic Thriller in Two Acts,Horror
Stone Cold,A Cameron Stone Action Thriller,Horror
This is your day for a miracle,Experience Gods Supernatural Healing,Horror
Map of bones,a Sigma Force novel,Horror
The horrors of the half-known life,male attitudes toward women and sexuality in nineteenth-century America,Horror
Vineyard supernatural,true ghost stories from America's most haunted island,Horror
The Unseen Realm,Recovering the Supernatural Worldview of the Bible,Horror
The Call of Bytes,Tales of Digital Horror,Horror
Horror in the East,Japan and the atrocities of World War II,Horror
Dirt,A Novel,Horror
Der erste letzte Tag,kein Thriller,Horror
Bahamas blue,a Tiller Galloway thriller,Horror
Buffy the Vampire Slayer,The Long Way Home (Buffy the Vampire Slayer: Season 8 #1),Horror
Avatar,"the Last Airbender: Smoke and Shadow, Part Two",Horror
Desecration,Antichrist takes the throne,Horror
Horror Hall of Fame,The Stoker Winners,Horror
Framkestein,A Horror Classic (Fast Track Classics),Horror
Horrors & howlers,how not to misuse English,Horror
Black Candy,A Halloween Anthology of Horror,Horror
Blessings from the Condemned,A Horror Legacy,Horror
Possession,a novel,Horror
The Buckross Ring,and Other Stories of the Strange and Supernatural,Horror
A Trap in Time,Book 2  (The Celia Rees Supernatural Trilogy),Horror
"One Piece, Vol. 17 (Nightmare Luffy / Arriving Again / The 11 Supernovas)",Thriller Bark,Horror
The vampyre,"a ""penny-dreadful"" stage thriller in two acts",Horror
Mediating Memory,"The argument has been made that memoir reflects and augments the narcissistic tendencies of our neo-liberal age. The Literature of Remembering: Tracing the Limits of Memoir challenges and dismantles that assumption. Focusing on the history, theory and practice of memoir writing, editors Bunty Avieson, Fiona Giles and Sue Joseph provide a thorough and cutting-edge examination of memoir through the lenses of ethics, practice and innovation. By investigating memoir across cultural boundaries, in its various guises, and tracing its limits, the editors convincingly demonstrate the plurality of ways in which memoir is helping us make sense of who we are, who we were and the influences that shape us along the way.",Biography
Lives of the Noble Grecians and Romans,"Lives of the Noble Grecians and Romans or Parallel Lives is a series of biographies of famous men, arranged in tandem to illuminate their common moral virtues or failings, probably written at the beginning of the second century AD by Plutarch. Parallel Lives comprises 23 pairs of biographies, each pair consisting of one Greek and one Roman, as well as four unpaired, single lives. It is a work of considerable importance, not only as a source of information about the individuals described, but also about the times in which they lived. Volume I contains 13 pairs of biographies from Theseus and Romulus to Cimon and Lucullus, with comparisons.",Biography
Never at Rest,"This richly detailed 1981 biography captures both the personal life and the scientific career of Isaac Newton, presenting a fully rounded picture of Newton the man, the scientist, the philosopher, the theologian, and the public figure. Professor Westfall treats all aspects of Newton's career, but his account centres on a full description of Newton's achievements in science. Thus the core of the work describes the development of the calculus, the experimentation that altered the direction of the science of optics, and especially the investigations in celestial dynamics that led to the law of universal gravitation.",Biography
Dictionary of Scientific Biography,Also available online as part of the Gale Virtual Reference Library under the title Complete dictionary of scientific biography.,Biography
Dictionary of National Biography,"Explore the lives of famous Britons with this essential reference work. Featuring over 30,000 biographies of notable figures from all spheres of life, it offers a unique insight into the cultural, social, and political history of Great Britain. With a comprehensive index and concise epitomes, it is an invaluable resource for students, researchers, and history enthusiasts alike. This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work is in the ""public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",Biography
Dictionary of National Biography,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",Biography
Flush,"Flush: A Biography, an imaginative biography of Elizabeth Barrett Browning's cocker spaniel, is a cross-genre blend of fiction and nonfiction.Commonly read as a modernist consideration of city life seen through the eyes of a dog, Flush serves as a harsh criticism of the supposedly unnatural ways of living in the city. The figure of Elizabeth Barrett Browning in the text is often read as an analogue for other female intellectuals, like Woolf herself, who suffered from illness, feigned or real, as a part of their status as female writers. Most insightful and experimental are Woolf's emotional and philosophical views verbalized in Flush's thoughts. As he spends more time with Barrett Browning, Flush becomes emotionally and spiritually connected to the poetess and both begin to understand each other despite their language barriers. For Flush smell is poetry, but for Barrett Browning, poetry is impossible without words. In Flush Woolf examines the barriers that exist between woman and animal created by language yet overcome through symbolic actions.We are happy to announce this classic book. Many of the books in our collection have not been published for decades and are therefore not broadly available to the readers. Our goal is to access the very large literary repository of general public books. The main contents of our entire classical books are the original works. To ensure high quality products, all the titles are chosen carefully by our staff. We hope you enjoy this classic.",Biography
Angela's Ashes,"Frank McCourt was born in 1930 in Brooklyn, New York, to Irish immigrant parents, grew up in Limerick, Ireland, and returned to America in 1949. For thirty years he taught in New York City high schools. His first book, ""Angela's Ashes,"" won the Pulitzer Prize, the National Book Critics Circle Award and the ""L.A. Times"" Book Award. In 2006, he won the prestigious Ellis Island Family Heritage Award for Exemplary Service in the Field of the Arts and the United Federation of Teachers John Dewey Award for Excellence in Education. He lives with his wife, Ellen, in New York and Connecticut.",Biography
Saint-Exupéry,"Saint-Exupery was one of the most remarkable figures in 20th-century history--a pioneer aviator, a swashbuckling international hero, and author of many international bestsellers, including the enduring classic The Little Prince. Based on extensive interviews and previously unpublished material, this boo k brings Saint-Exupery to life--on the 50th anniversary of his death. Photo insert.",Biography
Dictionary of National Biography,"PREFACE. THE Author of this very practical treatise on Scotch Loch - Fishing desires clearly that it may be of use to all who had it. He does not pretend to have written anything new, but to have attempted to put what he has to say in as readable a form as possible. Everything in the way of the history and habits of fish has been studiously avoided, and technicalities have been used as sparingly as possible. The writing of this book has afforded him pleasure in his leisure moments, and that pleasure would be much increased if he knew that the perusal of it would create any bond of sympathy between himself and the angling community in general. This section is interleaved with blank shects for the readers notes. The Author need hardly say that any suggestions addressed to the case of the publishers, will meet with consideration in a future edition. We do not pretend to write or enlarge upon a new subject. Much has been said and written-and well said and written too on the art of fishing but loch-fishing has been rather looked upon as a second-rate performance, and to dispel this idea is one of the objects for which this present treatise has been written. Far be it from us to say anything against fishing, lawfully practised in any form but many pent up in our large towns will bear us out when me say that, on the whole, a days loch-fishing is the most convenient. One great matter is, that the loch-fisher is depend- ent on nothing but enough wind to curl the water, -and on a large loch it is very seldom that a dead calm prevails all day, -and can make his arrangements for a day, weeks beforehand whereas the stream- fisher is dependent for a good take on the state of the water and however pleasant and easy it may be for one living near the banks of a good trout stream or river, it is quite another matter to arrange for a days river-fishing, if one is looking forward to a holiday at a date some weeks ahead. Providence may favour the expectant angler with a good day, and the water in order but experience has taught most of us that the good days are in the minority, and that, as is the case with our rapid running streams, -such as many of our northern streams are, -the water is either too large or too small, unless, as previously remarked, you live near at hand, and can catch it at its best. A common belief in regard to loch-fishing is, that the tyro and the experienced angler have nearly the same chance in fishing, -the one from the stern and the other from the bow of the same boat. Of all the absurd beliefs as to loch-fishing, this is one of the most absurd. Try it. Give the tyro either end of the boat he likes give him a cast of ally flies he may fancy, or even a cast similar to those which a crack may be using and if he catches one for every three the other has, he may consider himself very lucky. Of course there are lochs where the fish are not abundant, and a beginner may come across as many as an older fisher but we speak of lochs where there are fish to be caught, and where each has a fair chance. Again, it is said that the boatman has as much to do with catching trout in a loch as the angler. Well, we dont deny that. In an untried loch it is necessary to have the guidance of a good boatman but the same argument holds good as to stream-fishing...",Biography
Writing about Lives in Science,"Following discussions on scientific biography carried out over the past few decades, this book proposes a kaleidoscopic survey of the uses of biography as a tool to understand science and its context. It offers food for thought on the role played by the gender of the biographer and the biographee in the process of writing. To provide orientation in such a challenging field, some of the authors have accepted to write about their own professional experience while reflecting on the case studies they have been working on. Focusing on (auto)biography may help us to build bridges between different approaches to men and women's lives in science. The authors belong to a variety of academic and professional fields, including the history of science, anthropology, literary studies, and science journalism. The period covered spans from 1732, when Laura Bassi was the first woman to get a tenured professorship of physics, to 2009, when Elizabeth H. Blackburn and Carol W. Greider were the first women's team to have won a Nobel Prize in science.",Biography
